CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVENTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
19715,24,170,1-24-2020-170-03,3,2,1,1,Most Recent Frontal/Rear Event,1,999997,0,97,9997.0000,1,9997.0000,29.9460,9997.0000,997.0000,9997.0000,198.319659859114,1,5
19716,11,86,1-11-2020-086-06,6,1,1,1,First Record,1,14462,0,1,9997.0000,1,9997.0000,-14.0070,250.0000,997.0000,9997.0000,1177.79803465249,8,5
19721,20,82,1-20-2020-082-03,3,1,1,2,Event Record 2,1,23804,0,2,9997.0000,1,9997.0000,-19.3200,96.0000,-3.2200,102.0000,567.25598758101,11,5
19733,77,99,1-77-2020-099-02,2,3,1,1,"Record 1, Most Recent",6,2636,0,1,0.0000,1,9997.0000,-23.0230,195.0000,1.9320,195.0000,144.821684745928,9,5
19733,77,99,1-77-2020-099-02,2,2,1,1,Non-Deployment,95,28182,0,97,9997.0000,1,30.0000,-1.0948,30.0000,997.0000,9997.0000,144.821684745928,9,5
19737,54,39,1-54-2020-039-07,7,1,1,1,Event 1,1,13107,0,0,9997.0000,1,260.0000,-1.6100,260.0000,-9.6600,260.0000,842.912141720972,9,5
19739,14,84,1-14-2020-084-03,3,2,1,1,Event Record 1,1,9102,0,1,9997.0000,1,9997.0000,-22.5400,262.0000,8.0500,104.0000,1014.89743631484,8,5
19739,14,84,1-14-2020-084-03,3,1,1,1,Event Record 1,1,5560,0,1,9997.0000,1,9997.0000,-20.9300,97.5000,4.8300,290.0000,1014.89743631484,8,5
19741,17,118,1-17-2020-118-06,6,2,1,1,Non-Deployment,1,37173,0,97,9997.0000,1,290.0000,-14.9891,290.0000,997.0000,9997.0000,238.124678345625,4,5
19741,17,118,1-17-2020-118-06,6,1,1,1,Most Recent Event,1,9447,0,97,9997.0000,1,9997.0000,-14.0070,136.5000,997.0000,9997.0000,238.124678345625,4,5
19743,11,88,1-11-2020-088-02,2,1,1,1,Event Record 1,1,5553,0,1,9997.0000,1,9997.0000,-8.0500,85.0000,-30.5900,62.5000,90.5554746104876,8,5
19744,24,171,1-24-2020-171-10,10,1,1,2,Deployment #2,1,19315,1,97,0.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,4018.83756297856,1,5
19753,52,177,1-52-2020-177-06,6,1,1,2,1st Prior Event,1,10300,0,1,0.0000,1,9997.0000,-10.9480,88.0000,997.0000,9997.0000,217.703499651516,12,5
