CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,CHILDSEATNO,SEATLOC,CHILDMANUF,CHILDMAKE,CHILDMODEL,CHILDMODELNO,CHILDSEATYPE,CHILDDATEMAN,HOWUSED,DATASOURCE,ORIENTATION,HARNESSDESIGN,RETAINERCLIPDESIGN,TETHERDESIGN,LATCHDESIGN,HARNESSUSE,RETAINERCLIPUSE,TETHERUSE,LATCHUSE,BELTROUT,LOCKCLIPUSE,PLACEMENT,CHILDPOSITION,BELTRETYPE,LATCHPLATE,LATCHANCHOR,LATCHTETHER,CASEWGT,PSUSTRAT,VERSION
22082,52,90,1-52-2021-090-04,4,1,2,2,21,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,202.564804611792,12,6
22116,29,47,1-29-2021-047-02,2,1,3,2,21,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,17.6843704814137,2,6
22121,22,68,1-22-2021-068-06,6,1,2,2,23,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,1,9,5,1,1,1,48.5195618588257,12,6
22124,15,76,1-15-2021-076-09,9,2,2,2,23,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1,1,112.540271530989,1,6
22132,76,35,1-76-2021-035-04,4,1,2,1,23,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,37.2877005126404,3,6
22163,66,43,1-66-2021-043-03,3,2,2,3,21,98,98,9998,99999999,99,9999999999,9,5,1,9,9,9,9,9,9,9,9,9,9,1,9,5,1,1,1,131.162623760207,6,6
22168,32,71,1-32-2021-071-03,3,1,3,1,21,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,1,9,3,1,1,1,1431.54663513276,7,6
22181,23,57,1-23-2021-057-07,7,1,2,1,23,98,98,9998,99999999,99,9999999999,9,5,1,9,9,9,9,9,9,9,9,9,9,1,9,5,1,1,1,2622.98396488348,5,6
22198,22,71,1-22-2021-071-03,3,1,2,2,21,15,26,6033,99999999,6,05/11/2015,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,5,1,1,1,72.9996550945522,12,6
22284,15,79,1-15-2021-079-04,4,2,2,2,21,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,149.383470868876,1,6
22306,27,53,1-27-2021-053-03,3,2,2,2,23,13,23,4011,1932393,4,10/13/2018,2,1,2,2,1,1,1,3,3,2,1,1,0,1,1,3,1,1,1,56.1180767318779,3,6
22316,59,32,1-59-2021-032-05,5,2,3,2,23,98,98,9998,99999999,99,9999999999,9,2,2,9,9,9,9,5,5,2,1,0,0,1,1,5,1,1,1,118.327459597192,6,6
22316,59,32,1-59-2021-032-05,5,2,2,3,21,98,98,9998,99999999,99,9999999999,9,2,2,9,9,9,9,0,0,0,0,0,0,1,1,3,1,1,1,118.327459597192,6,6
22320,12,19,1-12-2021-019-03,3,1,4,4,23,12,19,2030,3812198,2,09/09/2019,2,1,2,2,1,1,1,2,9,9,9,3,0,1,9,5,1,1,1,262.184802942485,9,6
22320,12,19,1-12-2021-019-03,3,1,5,5,31,10,12,5033,BC110-EJP,5,06/11/2018,2,1,2,2,1,1,1,3,9,2,1,2,0,1,9,3,1,1,1,262.184802942485,9,6
22328,24,91,1-24-2021-091-06,6,1,2,2,23,4,4,9997,E1C069Z012059,5,07/08/2019,2,2,2,2,1,1,1,2,3,2,3,3,0,1,1,3,1,1,1,667.964542319275,1,6
22335,52,103,1-52-2021-103-03,3,1,2,1,21,6,98,9998,99999999,3,9999999999,2,3,2,2,1,1,1,3,5,2,1,1,0,1,1,9,1,1,1,79.6656566808841,12,6
22353,23,62,1-23-2021-062-03,3,2,2,1,21,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,186.900507711975,5,6
22360,27,54,1-27-2021-054-04,4,1,3,3,23,95,95,5950,99999999,5,9999999999,3,3,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,55.8632076993273,3,6
22382,21,91,1-21-2021-091-01,1,1,2,2,22,98,98,9998,99999999,99,9999999999,9,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,89.9649459644351,11,6
22382,21,91,1-21-2021-091-01,1,1,3,3,23,98,98,9998,99999999,99,9999999999,9,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,89.9649459644351,11,6
22417,23,64,1-23-2021-064-10,10,1,3,3,21,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,4218.70432385232,5,6
22432,19,99,1-19-2021-099-07,7,2,3,3,22,13,23,2054,99999999,2,9999999999,2,2,2,2,1,1,1,5,3,1,1,2,0,1,2,1,1,1,1,4085.05841969644,9,6
22452,20,77,1-20-2021-077-06,6,1,4,1,22,98,98,9998,99999999,99,9999999999,9,2,1,9,9,9,9,5,3,0,3,4,9,1,9,4,1,1,0,249.858551085493,11,6
22476,54,38,1-54-2021-038-04,4,2,2,2,21,13,23,9998,99999999,5,9999999999,3,2,2,0,0,0,0,0,0,0,0,2,0,1,1,3,1,1,1,484.191346741427,9,6
22503,31,49,1-31-2021-049-04,4,1,3,1,23,13,23,6031,2100790,6,08/22/2020,3,3,2,0,0,0,0,0,0,0,0,0,0,1,1,3,5,1,1,397.330765800885,6,6
22511,25,65,1-25-2021-065-06,6,2,2,1,21,13,23,6028,1852665,6,10/23/2018,3,1,2,0,0,0,1,0,0,0,0,0,0,1,9,5,1,1,1,326.543670112199,2,6
22511,25,65,1-25-2021-065-06,6,2,3,2,23,4,4,2001,E1A689N,2,01/01/2018,2,1,2,2,1,1,1,9,9,1,3,3,0,1,9,5,1,1,1,326.543670112199,2,6
22529,26,93,1-26-2021-093-05,5,2,3,3,21,98,98,9998,99999999,99,9999999999,9,2,2,9,9,9,9,0,0,1,9,0,9,1,1,5,9,1,1,28.445252372533,10,6
22529,26,93,1-26-2021-093-05,5,2,4,4,23,98,98,9998,99999999,99,9999999999,9,2,2,9,9,9,9,5,9,9,9,9,9,1,1,5,9,1,1,28.445252372533,10,6
22540,32,83,1-32-2021-083-05,5,1,2,2,21,10,12,2014,CC123-EFA,2,04/11/2018,2,1,2,2,1,1,1,9,9,9,9,9,9,1,1,5,1,1,1,178.377274653334,7,6
22542,30,62,1-30-2021-062-05,5,1,2,2,22,2,2,5001,FB48C41A,5,09/28/2020,2,1,2,2,1,1,1,9,9,1,3,9,9,1,9,5,1,0,0,24.5412514382651,10,6
22586,73,58,1-73-2021-058-06,6,1,2,2,21,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1,1,110.898297775821,3,6
22601,32,85,1-32-2021-085-02,2,2,3,3,23,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,71.6944238200548,7,6
22616,20,87,1-20-2021-087-03,3,2,4,3,22,98,98,9998,99999999,99,9999999999,9,1,9,9,9,9,9,9,9,9,9,9,9,1,9,2,1,1,1,173.706156367611,11,6
22673,24,106,1-24-2021-106-06,6,2,2,2,23,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,684.266907368456,1,6
22698,20,90,1-20-2021-090-03,3,2,2,1,23,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,137.693584713814,11,6
22735,23,79,1-23-2021-079-02,2,1,3,4,21,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,66.3082507877633,5,6
22761,66,58,1-66-2021-058-03,3,1,3,3,23,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,246.899642531217,6,6
22767,32,89,1-32-2021-089-06,6,2,3,3,23,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,3572.74872354465,7,6
22780,13,59,1-13-2021-059-05,5,2,4,4,23,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,1,9,5,1,1,1,194.150725496042,7,6
22900,24,114,1-24-2021-114-09,9,2,2,2,23,13,23,4011,2077127,4,10/21/2019,1,1,1,2,1,0,1,5,5,0,1,0,0,1,1,3,1,1,1,4238.6857027513,1,6
